session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
TH_63,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,"Legs, Bums & Tums",Gym / Fitness,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,11:30,12:30,Tuesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_64,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,"Legs, Bums & Tums",Gym / Fitness,Tiller Group Ex,False,16.65,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,18:00,19:00,Tuesday,2,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_65,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,"Legs, Bums & Tums - W.O",Gym / Fitness,Poplar Group Ex,False,16.65, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,13:30,14:30,Friday,1,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_66,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men 35 & Over Free Swim,Swimming,Free Swimming,False,8.3, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,16:30,17:30,Wednesday,6,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_67,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men 35 & Over Free Swim,Swimming,Men Only Sessions,False,8.3, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,20:30,21:30,Tuesday,3,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_68,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men 35 & Over Free Swim,Swimming,Men Only Sessions,False,8.3,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,12:00,13:00,Saturday,7,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_69,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men 35 & Over Free Swim,Swimming,Men Only Sessions,False,8.3,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,11:00,12:00,"Sunday, Thursday, Saturday",4,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_70,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men Only Health Suite,Other / Unspecified,Men Only Sauna,False,8.3,Whitechapel Sports Centre,E1 5BA,Tower Hamlets,51.519950646840734,-0.0614251756687532,12:00,12:50,"Monday, Tuesday, Wednesday, Thursday, Friday",15,False,https://be-well.org.uk/centres/whitechapel-sports-centre/
TH_71,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men Only Health Suite,Other / Unspecified,Men Only Sessions,False,8.3,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,15:30,16:30,"Monday, Tuesday",21,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_72,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men Only Swimming,Swimming,Men Only Sessions,False,8.3, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,20:30,21:30,Tuesday,1,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_73,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Men Only Swimming,Swimming,Men Only Sessions,False,8.3,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,21:00,22:00,Wednesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_74,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Mindfulness,Other / Unspecified,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,13:00,13:30,Wednesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_75,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Mixed Health Suite,Other / Unspecified,Mixed Sessions,False,8.4,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,10:30,11:30,Sunday,11,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_76,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,No Strings - Advanced,Other / Unspecified,Activities,False,6.6, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,19:40,21:00,Monday,1,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
